"run_id","workspace_id","parameters","metric_name","metric_value"
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","accepted_candidates",1
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","accepted_high_confidence_candidates",0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","accepted_needs_review_candidates",1
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","average_cluster_size",261.0
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","candidates_generated",1
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","clusters_detected_before_quality_gates",3
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","clusters_rejected",2
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","clusters_valid",1
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","conversations_analyzed",3525
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","duplicates_omitted",0
