"run_id","workspace_id","status","parameters","started_at","finished_at"
"39348cc2-ff3f-4d19-b203-23b8215f9d7f",126,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 22:44:35.067015-05","2026-05-14 22:44:54.210948-05"
"ab84409a-b3ae-4eeb-bfd4-b1330856f97e",126,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 365, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 22:43:07.837219-05","2026-05-14 22:43:48.623277-05"
"78e8582c-97a7-4866-ac38-ebf203d05027",152,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 152, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 22:42:55.90335-05","2026-05-14 22:42:56.153505-05"
"a4bedaef-6c3c-48a1-9727-3a9a6e302c0a",152,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 152, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 22:42:55.130253-05","2026-05-14 22:42:55.470173-05"
"324e3670-5669-48fe-9e2f-56aa86b22030",126,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 365, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 22:38:34.842075-05","2026-05-14 22:40:25.425063-05"
"14645848-9f4a-4781-bf73-8b63ada4cd43",126,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 19:02:48.54809-05","2026-05-14 19:03:07.469671-05"
"07d76852-54a4-4d4a-86a5-92ddb03a67c8",153,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 153, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 19:01:55.2168-05","2026-05-14 19:02:32.355305-05"
"d40f373c-5faf-450e-89f3-dd8eb35e868f",153,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 90, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 153, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 18:42:09.016621-05","2026-05-14 18:42:46.742842-05"
"265769b1-2235-4a23-b7b2-32f0f8da0dad",126,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 365, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 126, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 18:24:31.876034-05","2026-05-14 18:25:18.736191-05"
"2789c766-81eb-4a78-8cfd-38e663b154e9",153,"succeeded","{""limit"": 15000, ""agent_id"": null, ""llm_model"": ""Qwen/Qwen2.5-0.5B-Instruct"", ""since_days"": 365, ""cluster_eps"": 0.34, ""llm_enabled"": true, ""workspace_id"": 153, ""skip_existing"": true, ""embedding_model"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""min_cluster_size"": 3, ""embedding_backend"": ""sentence-transformers"", ""duplicate_threshold"": 0.78, ""min_cluster_support"": 0.58, ""min_cluster_cohesion"": 0.6, ""min_generation_confidence"": 0.5}","2026-05-14 18:22:49.49273-05","2026-05-14 18:23:50.268922-05"
